,Unnamed: 0,City,Population,State,Latitude,Longitude
0,0,Mumbai,"12,442,373",Maharashtra,18.9387711,72.8353355
1,1,Delhi,"11,034,555",Delhi,28.6517178,77.2219388
2,2,Bangalore,"8,443,675",Karnataka,12.9791198,77.5912997
3,3,Hyderabad,"6,993,262",Telangana,17.3616079,78.4746286
4,4,Ahmedabad,"5,577,940",Gujarat,23.0216238,72.5797068
5,5,Chennai,"4,646,732",Tamil Nadu,13.0801721,80.2838331
6,6,Kolkata ,"4,496,694",West Bengal,22.5677459,88.3476023
7,7,Surat,"4,467,797",Gujarat,21.1864607,72.8081281
8,8,Pune,"3,124,458",Maharashtra,18.5203062,73.8543185
9,9,Jaipur,"3,046,163",Rajasthan,26.916194,75.820349
10,10,Lucknow,"2,817,105",Uttar Pradesh,26.8381,80.9346001
11,11,Kanpur,"2,765,348",Uttar Pradesh,26.4609135,80.3217588
12,12,Nagpur,"2,405,665",Maharashtra,21.1500964,79.0127048991187
13,13,Visakhapatnam,"2,035,922",Andhra Pradesh,17.7231276,83.3012842
14,14,Indore,"1,960,631",Madhya Pradesh,22.7203851,75.8682103
15,15,Thane,"1,818,872",Maharashtra,19.1943294,72.9701779
16,16,Bhopal,"1,798,218",Madhya Pradesh,23.2530923,77.3962718
17,17,Pimpri-Chinchwad,"1,729,359",Maharashtra,18.6279288,73.8009829
18,18,Patna,"1,683,200",Bihar,25.6093239,85.1235252
19,19,Vadodara,"1,666,703",Gujarat,22.297076,73.1957373
20,20,Ghaziabad,"1,636,068",Uttar Pradesh,28.666667,77.666667
21,21,Ludhiana,"1,613,878",Punjab,30.9090157,75.851601
22,22,Coimbatore,"1,601,438",Tamil Nadu,11.0018115,76.9628425
23,23,Agra,"1,585,704",Uttar Pradesh,27.1752554,78.0098161
24,24,Madurai,"1,561,129",Tamil Nadu,9.9261153,78.1140983
